"date","FROZEN.FOODS","LIQUOR.WINE.BEER","MEATS","POULTRY","PREPARED.FOODS"
2013-01-01,-0.807099686881666,-1.21767620820996,-4.23371371681375,-3.10707415047384,-4.70610049584783
2013-01-02,-0.120373300064507,-0.59301051073676,0.556424094454273,-0.814826463969258,0.102074308933289
2013-01-03,-0.348571888642763,-0.575402847971904,-0.429737316656771,-1.35797584574225,-1.482479336271
2013-01-04,-0.371334828831401,0.0530552691737243,0.73051074635567,-1.3418333237458,-0.682749308598756
2013-01-05,-0.249639245223833,0.572887651416164,0.558183888273011,-0.897228757328396,0.548360429986761
2013-01-06,-0.217339113397392,-1.24611935575319,0.789126238337655,-0.494807196016172,0.914527246003359
2013-01-07,-0.439400642910836,-0.74091487796155,-0.0336228841615631,-1.45468483024174,-1.43950367333519
2013-01-08,-0.472243412144889,-0.701907132759407,-0.521355727513641,-1.67882460222049,-1.51460902485907
2013-01-09,-0.452389232761358,-0.634998014252955,0.156870814868867,-1.71762430237848,-1.1164304262283
2013-01-10,-0.530985056590599,-0.465693564590878,-0.764862760619549,-1.89697974888619,-1.4072678427909
2013-01-11,-0.455083618139017,0.120235274799636,0.447809813739274,-1.57588800186075,-0.91584251280144
2013-01-12,-0.365358068870936,0.716728711849064,0.131320552634753,-1.23999702654007,0.678877692093373
2013-01-13,-0.304787409701646,-1.24611935575319,0.435271841554647,-0.701804022967325,1.11798907048514
2013-01-14,-0.489254244002402,-0.739831329483712,-0.762042991380836,-1.73515878572665,-1.37191136797549
2013-01-15,-0.501218232524404,-0.743623749156143,0.693622303460825,-1.68020554952877,-1.29183292040253
2013-01-16,-0.448889376917383,-0.573235751016229,-0.392485990648672,-1.62009125493995,-0.540525160683918
2013-01-17,-0.518569436190576,-0.54100018380057,-0.660735977192402,-1.86037666436208,-1.27105722793575
2013-01-18,-0.478700492724819,0.0736426902526328,0.387723640440064,-1.587192915552,-0.874762764463656
2013-01-19,-0.344173708503072,0.822916462677119,0.225865526318896,-1.02974245264764,0.935027235181105
2013-01-20,-0.305477458104643,-1.24611935575319,0.266966882928538,-0.723534991935919,0.788178335138213
2013-01-21,-0.489129415196956,-0.739289555244794,-0.806586390480479,-1.58765833588121,-1.21228250468192
2013-01-22,-0.520664098339074,-0.727099634869124,-0.819792780129116,-1.89887859429159,-1.5389634969686
2013-01-23,-0.477125302451929,-0.690258986622656,-0.837445342832802,-1.75911007450902,-1.028134966525
