id,date,store_nbr,family,sales,onpromotion
29,2013-01-01,1.0,PREPARED FOODS,0.0,0.0
62,2013-01-01,10.0,PREPARED FOODS,0.0,0.0
95,2013-01-01,11.0,PREPARED FOODS,0.0,0.0
128,2013-01-01,12.0,PREPARED FOODS,0.0,0.0
161,2013-01-01,13.0,PREPARED FOODS,0.0,0.0
194,2013-01-01,14.0,PREPARED FOODS,0.0,0.0
227,2013-01-01,15.0,PREPARED FOODS,0.0,0.0
260,2013-01-01,16.0,PREPARED FOODS,0.0,0.0
293,2013-01-01,17.0,PREPARED FOODS,0.0,0.0
326,2013-01-01,18.0,PREPARED FOODS,0.0,0.0
359,2013-01-01,19.0,PREPARED FOODS,0.0,0.0
392,2013-01-01,2.0,PREPARED FOODS,0.0,0.0
425,2013-01-01,20.0,PREPARED FOODS,0.0,0.0
458,2013-01-01,21.0,PREPARED FOODS,0.0,0.0
491,2013-01-01,22.0,PREPARED FOODS,0.0,0.0
524,2013-01-01,23.0,PREPARED FOODS,0.0,0.0
557,2013-01-01,24.0,PREPARED FOODS,0.0,0.0
590,2013-01-01,25.0,PREPARED FOODS,37.847,0.0
623,2013-01-01,26.0,PREPARED FOODS,0.0,0.0
656,2013-01-01,27.0,PREPARED FOODS,0.0,0.0
689,2013-01-01,28.0,PREPARED FOODS,0.0,0.0
722,2013-01-01,29.0,PREPARED FOODS,0.0,0.0
755,2013-01-01,3.0,PREPARED FOODS,0.0,0.0
788,2013-01-01,30.0,PREPARED FOODS,0.0,0.0
821,2013-01-01,31.0,PREPARED FOODS,0.0,0.0
854,2013-01-01,32.0,PREPARED FOODS,0.0,0.0
887,2013-01-01,33.0,PREPARED FOODS,0.0,0.0
920,2013-01-01,34.0,PREPARED FOODS,0.0,0.0
953,2013-01-01,35.0,PREPARED FOODS,0.0,0.0
986,2013-01-01,36.0,PREPARED FOODS,0.0,0.0
1019,2013-01-01,37.0,PREPARED FOODS,0.0,0.0
1052,2013-01-01,38.0,PREPARED FOODS,0.0,0.0
1085,2013-01-01,39.0,PREPARED FOODS,0.0,0.0
1118,2013-01-01,4.0,PREPARED FOODS,0.0,0.0
1151,2013-01-01,40.0,PREPARED FOODS,0.0,0.0
1184,2013-01-01,41.0,PREPARED FOODS,0.0,0.0
1217,2013-01-01,42.0,PREPARED FOODS,0.0,0.0
1250,2013-01-01,43.0,PREPARED FOODS,0.0,0.0
1283,2013-01-01,44.0,PREPARED FOODS,0.0,0.0
1316,2013-01-01,45.0,PREPARED FOODS,0.0,0.0
1349,2013-01-01,46.0,PREPARED FOODS,0.0,0.0
1382,2013-01-01,47.0,PREPARED FOODS,0.0,0.0
1415,2013-01-01,48.0,PREPARED FOODS,0.0,0.0
1448,2013-01-01,49.0,PREPARED FOODS,0.0,0.0
1481,2013-01-01,5.0,PREPARED FOODS,0.0,0.0
1514,2013-01-01,50.0,PREPARED FOODS,0.0,0.0
1547,2013-01-01,51.0,PREPARED FOODS,0.0,0.0
1580,2013-01-01,52.0,PREPARED FOODS,0.0,0.0
1613,2013-01-01,53.0,PREPARED FOODS,0.0,0.0
1646,2013-01-01,54.0,PREPARED FOODS,0.0,0.0
1679,2013-01-01,6.0,PREPARED FOODS,0.0,0.0
1712,2013-01-01,7.0,PREPARED FOODS,0.0,0.0
1745,2013-01-01,8.0,PREPARED FOODS,0.0,0.0
1778,2013-01-01,9.0,PREPARED FOODS,0.0,0.0
1811,2013-01-02,1.0,PREPARED FOODS,47.0,0.0
1844,2013-01-02,10.0,PREPARED FOODS,26.0,0.0
1877,2013-01-02,11.0,PREPARED FOODS,31.0,0.0
1910,2013-01-02,12.0,PREPARED FOODS,41.0,0.0
1943,2013-01-02,13.0,PREPARED FOODS,25.0,0.0
1976,2013-01-02,14.0,PREPARED FOODS,24.0,0.0
2009,2013-01-02,15.0,PREPARED FOODS,22.0,0.0
2042,2013-01-02,16.0,PREPARED FOODS,37.0,0.0
2075,2013-01-02,17.0,PREPARED FOODS,47.0,0.0
2108,2013-01-02,18.0,PREPARED FOODS,60.0,0.0
2141,2013-01-02,19.0,PREPARED FOODS,42.0,0.0
2174,2013-01-02,2.0,PREPARED FOODS,127.357,0.0
2207,2013-01-02,20.0,PREPARED FOODS,0.0,0.0
2240,2013-01-02,21.0,PREPARED FOODS,0.0,0.0
2273,2013-01-02,22.0,PREPARED FOODS,0.0,0.0
2306,2013-01-02,23.0,PREPARED FOODS,62.0,0.0
2339,2013-01-02,24.0,PREPARED FOODS,120.048996,0.0
2372,2013-01-02,25.0,PREPARED FOODS,95.581,0.0
2405,2013-01-02,26.0,PREPARED FOODS,38.0,0.0
2438,2013-01-02,27.0,PREPARED FOODS,82.63,0.0
2471,2013-01-02,28.0,PREPARED FOODS,57.757,0.0
2504,2013-01-02,29.0,PREPARED FOODS,0.0,0.0
2537,2013-01-02,3.0,PREPARED FOODS,428.0,0.0
2570,2013-01-02,30.0,PREPARED FOODS,20.0,0.0
2603,2013-01-02,31.0,PREPARED FOODS,14.0,0.0
2636,2013-01-02,32.0,PREPARED FOODS,15.0,0.0
2669,2013-01-02,33.0,PREPARED FOODS,64.0,0.0
2702,2013-01-02,34.0,PREPARED FOODS,51.0,0.0
2735,2013-01-02,35.0,PREPARED FOODS,2.0,0.0
2768,2013-01-02,36.0,PREPARED FOODS,0.0,0.0
2801,2013-01-02,37.0,PREPARED FOODS,169.0,0.0
2834,2013-01-02,38.0,PREPARED FOODS,157.953,0.0
2867,2013-01-02,39.0,PREPARED FOODS,61.0,0.0
2900,2013-01-02,4.0,PREPARED FOODS,109.062,0.0
2933,2013-01-02,40.0,PREPARED FOODS,38.0,0.0
2966,2013-01-02,41.0,PREPARED FOODS,67.649,0.0
2999,2013-01-02,42.0,PREPARED FOODS,0.0,0.0
3032,2013-01-02,43.0,PREPARED FOODS,35.0,0.0
3065,2013-01-02,44.0,PREPARED FOODS,616.862,0.0
3098,2013-01-02,45.0,PREPARED FOODS,318.04498,0.0
3131,2013-01-02,46.0,PREPARED FOODS,180.643,0.0
3164,2013-01-02,47.0,PREPARED FOODS,242.03601,0.0
3197,2013-01-02,48.0,PREPARED FOODS,149.826,0.0
3230,2013-01-02,49.0,PREPARED FOODS,311.105,0.0
3263,2013-01-02,5.0,PREPARED FOODS,135.0,0.0
3296,2013-01-02,50.0,PREPARED FOODS,177.325,0.0
3329,2013-01-02,51.0,PREPARED FOODS,240.70999,0.0
3362,2013-01-02,52.0,PREPARED FOODS,0.0,0.0
3395,2013-01-02,53.0,PREPARED FOODS,0.0,0.0
3428,2013-01-02,54.0,PREPARED FOODS,61.0,0.0
3461,2013-01-02,6.0,PREPARED FOODS,171.434,0.0
3494,2013-01-02,7.0,PREPARED FOODS,168.0,0.0
3527,2013-01-02,8.0,PREPARED FOODS,266.088,0.0
3560,2013-01-02,9.0,PREPARED FOODS,83.0,0.0
3593,2013-01-03,1.0,PREPARED FOODS,63.0,0.0
3626,2013-01-03,10.0,PREPARED FOODS,10.0,0.0
3659,2013-01-03,11.0,PREPARED FOODS,13.0,0.0
3692,2013-01-03,12.0,PREPARED FOODS,24.0,0.0
3725,2013-01-03,13.0,PREPARED FOODS,13.0,0.0
3758,2013-01-03,14.0,PREPARED FOODS,22.0,0.0
3791,2013-01-03,15.0,PREPARED FOODS,22.0,0.0
3824,2013-01-03,16.0,PREPARED FOODS,27.0,0.0
3857,2013-01-03,17.0,PREPARED FOODS,42.0,0.0
3890,2013-01-03,18.0,PREPARED FOODS,41.0,0.0
3923,2013-01-03,19.0,PREPARED FOODS,31.0,0.0
