"date","FROZEN.FOODS","LIQUOR.WINE.BEER","MEATS","POULTRY","PREPARED.FOODS"
2013-01-01,29.6549989999985,104.99999999999,110.80100000001,42.6370000000134,37.8469999999988
2013-01-02,7115.388,2411,20871.464028,13975.884938,5338.111976
2013-01-03,4760.805009,2476,16597.398113,10674.393983,3591.388005
2013-01-04,4525.9340042,4796,21625.963055,10772.515038,4472.96599
2013-01-05,5781.60501,6715,20879.09105,13475.009055,5830.07302
2013-01-06,6114.88201,-1.45519152283669e-11,21880.005115,15921.096981,6233.71499
2013-01-07,3823.622,1865,18314.175078,10086.555999,3638.76199
2013-01-08,3484.745996,2009,16200.319985,8724.139959,3555.97002
2013-01-09,3689.60402500001,2256,19139.782952,8488.29902199999,3994.900002
2013-01-10,2878.641998,2881,15144.950044,7398.10099499999,3674.29698
2013-01-11,3661.803003,5044,20400.72507,9349.83201800002,4216.016982
2013-01-12,4587.602998,7246,19029.047018,11391.5189905,5973.948004
2013-01-13,5212.57901,-1.45519152283669e-11,20346.38496,14662.882989,6458.00001
2013-01-14,3309.226,1869,15157.171045,8381.71703900001,3713.271995
2013-01-15,3185.779996,1855,21466.086959,8715.74597899999,3801.54603
2013-01-16,3725.715997,2484,16758.84696,9081.14600800001,4629.745995
2013-01-17,3006.74799900001,2603,15596.239996,7620.58997599998,3824.448
2013-01-18,3418.120991,4872,20140.309014,9281.11598599997,4261.301016
2013-01-19,4806.186009,7638,19438.808995,12669.534942,6256.31304
2013-01-20,5205.459,-1.45519152283669e-11,19616.94404,14530.792997,6094.434965
2013-01-21,3310.514,1871,14964.11804,9278.28696499999,3889.237992
2013-01-22,2985.135,1916,14906.88098,7386.55901200002,3529.123002
2013-01-23,3434.374011,2052,14830.374015,8236.131007,4092.232015
2013-01-24,2347.526002,2741,14439.947,7133.68797399997,3768.988
2013-01-25,2918.392003,4797,18415.62099,9472.98898600002,4141.350956
2013-01-26,4214.642008,7127,19899.224978,12336.019999,6141.714005
2013-01-27,4880.221001,-1.45519152283669e-11,19056.240144,13938.214045,6208.775008
2013-01-28,2988.31299,1772,14206.666006,8585.10101400003,3770.48398300001
2013-01-29,2714.615002,2019,14320.175069,7318.93199300003,3624.568
2013-01-30,3217.917,2417,13814.120049,7812.14002300001,4141.628002
2013-01-31,2721.381996,2731,15586.90201,7515.26502,3582.892988
2013-02-01,3712.12199800001,5307,22128.331272,12681.827035,4699.514965
2013-02-02,5338.998001,8443.99999999999,23947.553056,15624.826805,6484.074946
2013-02-03,5263.059,-1.45519152283669e-11,20703.611134,16522.964032,6346.32202
2013-02-04,3379.371989,2109,18700.978049,10379.74896,4202.802006
2013-02-05,3154.338004,2103,15899.33105,9095.46305800003,3978.725999
2013-02-06,3577.606996,3310,18319.306128,8607.58299599998,4218.89201
2013-02-07,2997.557004,3758,15303.384936,8081.04401500002,3895.96999
2013-02-08,3319.627004,6426,18571.688984,9960.69895099997,4547.889
2013-02-09,3833.387008,9897.00000000001,20139.729021,11998.345011,5689.19601
2013-02-10,2594.465997,7073,12895.585014,9074.26498999999,4181.216995
2013-02-11,2789.297,8146,12922.622,8642.55795999999,4310.345001
2013-02-12,3581.2729981,3653,14062.627998,10367.136934,4419.013014
2013-02-13,3485.05398799999,2260,14384.17898,8411.43299699997,4108.278
2013-02-14,2679.537998,4507,15119.58001,7762.87397300001,3815.695994
2013-02-15,3286.091002,955,18597.42699,9649.863978,4277.269005
2013-02-16,5151.261003,-1.45519152283669e-11,23078.065998,13974.86604,6460.580977
2013-02-17,4375.72799,-1.45519152283669e-11,16732.557975,12054.484042,5425.322
2013-02-18,3716.451001,1952,17019.630112,10167.533059,4064.90101
2013-02-19,3008.794,2026,15522.627967,7843.53896900001,3496.86002
2013-02-20,3458.153995,2316,15074.818019,8211.30100499997,4151.197022
2013-02-21,2659.369002,2884,15218.02304,7423.853983,3486.503988
2013-02-22,2745.509001,4636,17697.895058,8862.19305399998,3824.272995
2013-02-23,4076.964996,7573,19033.628008,12487.798069,5839.21004
2013-02-24,4911.931004,-1.45519152283669e-11,18946.185991,14674.940068,5942.531018
2013-02-25,2927.986022,2081,14386.162905,8917.47999499998,3969.830025
2013-02-26,2708.784002,1926,15373.644058,7546.36500100002,3654.743005
2013-02-27,3141.98099999999,2738,16290.144955,7598.25498400001,4026.511993
2013-02-28,2831.503001,3602,14285.640988,7743.11793299999,3590.86801599999
2013-03-01,3855.361003,5561,21188.517969,12374.51606,4659.632
2013-03-02,5170.328022,8161,24000.71213,16380.87509,6597.668003
2013-03-03,6147.89397,-1.45519152283669e-11,22957.833016,18187.60901,6603.171045
2013-03-04,3799.938001,1949,19374.249156,10869.801976,4255.591986
2013-03-05,3188.837001,2038,16526.522098,9323.36406899998,3894.91599
2013-03-06,3530.536996,2527,17772.404956,8976.22600299999,4420.138
2013-03-07,2847.912999,2573,15972.838015,8102.01601799999,3745.68698
2013-03-08,3067.045001,5936,17607.649964,9923.21402200003,4386.603976
2013-03-09,4693.131,7624,20406.66497,12916.680949,6057.97297
2013-03-10,4948.192,-1.45519152283669e-11,18953.579994,14451.378143,5940.49102
2013-03-11,3256.640001,1833,15164.973,8940.91001399998,3725.352985
2013-03-12,2982.358,2121,13427.720031,7071.40700900001,3501.82497
2013-03-13,3221.51999999999,2165,14739.408956,7867.77402700002,4002.23399
2013-03-14,2619.853001,2268,14186.026095,6875.92600099999,3337.871
2013-03-15,3152.985997,5060,18044.760189,9997.11701100001,4305.530995
2013-03-16,7682.30299,8109,20405.665965,13590.082988,6233.33904
2013-03-17,6624.252,-1.45519152283669e-11,20549.189915,15441.773978,6557.96102
2013-03-18,3848.665988,1581,15073.459005,8626.86501799999,4138.716021
2013-03-19,3421.257995,1779,16344.20192,7693.962982,3599.54400000001
2013-03-20,4067.915001,2233,14712.96397,8149.44200099999,4170.403
2013-03-21,3376.02999900001,2739,15246.18996,7021.58199100002,3519.942999
2013-03-22,4377.731996,4587,17167.918986,8947.814017,4324.10401
2013-03-23,7044.246,7961,18677.82495,12476.98311,6195.199004
2013-03-24,5792.776,-1.45519152283669e-11,17413.326908,13416.972104,6027.34606
2013-03-25,3785.628008,2105,15029.379998,8110.58895999998,4019.578994
2013-03-26,3236.651997,4173,11727.513949,6320.350016,3978.466964
2013-03-27,3969.45499,2909,11380.131045,6657.21601999999,5133.036994
2013-03-28,4238.794005,4806,13092.246031,6570.19201100001,6164.063
2013-03-29,5139.446002,6236,12440.103964,8595.29899900001,6347.47701600001
2013-03-30,6789.321,7199,17847.59199,11989.508057,5809.49501
2013-03-31,5675.35099,-1.45519152283669e-11,18101.773992,12932.013073,5612.93298
2013-04-01,4674.215001,1793,20948.115934,11456.621007,4548.565
2013-04-02,4037.354003,2179,17594.184936,10417.988021,3770.515003
2013-04-03,4531.658003,2392,17686.411864,9475.532042,4410.55198
2013-04-04,3854.699,2513,15746.31298,8505.15499499999,3687.002987
2013-04-05,4672.634,4976,20537.613997,10348.492984,4131.05
2013-04-06,8094.94,8065,23106.060999,13598.484,6389.718004
2013-04-07,6521.829,-1.45519152283669e-11,20998.976934,15874.582913,6319.88296
2013-04-08,4119.209999,1693,14505.46699,9180.72295600002,3726.03597799999
2013-04-09,3538.401,2091,16580.308984,7886.89100199998,3561.735984
2013-04-10,4002.398999,2357,14642.17799,8164.49395600002,3973.927003
2013-04-11,3673.195016,2747,15014.20803,6950.23899600003,3419.91199999999
2013-04-12,4909.360999,5519,17962.606974,9726.88906600003,4167.412993
2013-04-13,7514.91003,7787,18232.883039,12267.050979,5403.73997
2013-04-14,6313.942998,-1.45519152283669e-11,18499.07499,14216.171872,5573.70697
2013-04-15,4127.436,2143,15273.94901,9598.81704100002,3867.843003
2013-04-16,4023.893,2014,16476.334996,9545.88103999999,3818.975012
2013-04-17,4371.600001,2443,16576.570968,8594.797006,3988.45398
2013-04-18,3580.220996,2666,14731.399966,7495.189993,3265.117001
2013-04-19,4799.615004,4815,18017.591975,9507.357984,4060.083022
2013-04-20,7306.080998,7412,19941.431025,12551.315994,5716.121986
2013-04-21,6187.155011,-1.45519152283669e-11,19526.803,14540.00707,5890.253992
2013-04-22,4074.556,1674,15155.86497,8992.13900899999,3813.239006
2013-04-23,3675.571,1967,15099.199994,8319.52197499998,3365.663004
2013-04-24,4067.76,2575,16448.004954,7886.02299400003,3931.814
2013-04-25,3483.254003,2471,14354.508025,7251.42798000001,3417.16699
2013-04-26,4561.394,5196,18678.605903,9402.678013,4007.399
2013-04-27,7126.746,7486,17957.89596,12145.848971,5759.616958
2013-04-28,6232.167,-1.45519152283669e-11,18906.985956,14644.298005,5602.167
2013-04-29,3763.110991,1828,15102.675018,8312.00201299999,3722.92899400001
2013-04-30,3852.739,3532,16870.93394,8383.90296199999,3821.07599
2013-05-01,6857.083,5850,21064.793944,14286.17595,6256.73698
2013-05-02,4266.350001,2627,18399.034,9714.14506099999,3842.192005
2013-05-03,5362.587003,5046,21085.02202,11378.700001,4293.376005
2013-05-04,7513.481998,6972,21334.01095,13927.779953,6299.53296
2013-05-05,6822.148,-1.45519152283669e-11,21989.97404,16896.57986,6754.75197
2013-05-06,4183.568,1856,17868.49203,10161.437,3884.20898200001
2013-05-07,3932.899003,1914,15465.032054,8628.01604500002,3856.835022
2013-05-08,4467.02697,2695,14854.31599,8565.045975,4115.106027
2013-05-09,4059.653001,3125,14965.96999,8958.41701800002,3858.650994
2013-05-10,6107.34,6625,18891.910986,10857.287957,4323.083004
2013-05-11,8587.739,11060,20946.813036,14943.808068,6082.363006
